html_url;howfairis_repository;howfairis_license;howfairis_registry;howfairis_citation;howfairis_checklist;fairscore;organisation;dlr_soft_class;project;quick_start_guide;readme_content;help_commands;test_folder;requirements_explicit;continuous_integration;ci_tool;add_lint_rule;add_test_rule;language;type;researchGroup;comment_percentage;comment_category;
https://github.com/Open-Systems-Pharmacology/Skin-permeation-model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Qualification-DDI-CYP3A4;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;MATLAB;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Repaglinide-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Pioglitazone-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Repaglinide-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Pioglitazone-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Itraconazole-Repaglinide-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Itraconazole-Pioglitazone-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Itraconazole-Repaglinide-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Gemfibrozil-Itraconazole-Pioglitazone-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Repaglinide-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Pioglitazone-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Clarithromycin-Repaglinide-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Amikacin-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;MATLAB;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Vancomycin-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;MATLAB;org;open_systems_pharmacology;;;
